#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
CHRONICLE_PLAYER_INHERITANCE_NEW_RELIGION;В [GetDateText], [From.GetTitledName] [From.GetDeathReason] в возрасте [Root.GetAgeYears]. [From.GetSubjectPronounCap] сменил[From.GetEndA] [From.GetPossPronoun] [Root.Religion.GetName] [GetFromReverseRelation] [Root.GetFirstName].;;;;;;;;;;;;;x
CHRONICLE_PLAYER_INHERITANCE_NEW_CULTURE;[From.GetTitledName] [From.GetDeathReason] в [GetDateText] в возрасте [Root.GetAgeYears]. [From.GetPossPronounCap] [Root.Culture.GetGroupName] [GetFromReverseRelation] [Root.GetFirstName] преуспел[From.GetEndA] на троне земли [From.PrimaryTitle.GetTier] как [Root.GetTitledFirstName].;;;;;;;;;;;;;x
CHRONICLE_PLAYER_INHERITANCE_NEW_CULTURE_AND_RELIGION;[From.GetTitledName] [From.GetDeathReason] в [GetDateText] в возрасте [Root.GetAgeYears]. [From.GetSubjectPronounCap] преуспел[From.GetEndA] на троне земли [From.PrimaryTitle.GetTier] [From.GetPossPronoun] [Root.Culture.GetGroupName] [GetFromReverseRelation] [Root.GetFirstName], как преданный приверженец веры [Root.Religion. GetName].;;;;;;;;;;;;;x
CHRONICLE_START;Это Хроника дома [Root.GetOnlyDynastyName], которую начал[Root.GetEndA] [Root.GetTitledFirstNameNoRegnal], [Root.GetRegnalOrdinal] [Root.GetHerHis] имени, в где содержатся записи о ее судьбах, славах и трудностях.;;;;;;;;;;;;;x
CHRONICLE_DEATH_OF_LIEGE;[Root.GetTitledFirstNameWithDynasty], господин [Root.GetLordLady] земли  [Player.GetTitledFirstNameNoRegnal], [Root.GetDeathReason] в [GetDateText] в возрасте [Root.GetAgeYears].;;;;;;;;;;;;;x
CHRONICLE_DEATH_OF_SPOUSE;[Root.GetTitledFirstNameWithNickAndDynasty], [Root.GetHusbandWife] [Player.GetTitledFirstNameNoRegnal], [Root.GetDeathReason] в [GetDateText] в возрасте [Root.GetAgeYears].;;;;;;;;;;;;;x
CHRONICLE_DEATH_OF_PARENT;[Root.GetTitledFirstNameWithNickAndDynasty], [Root.GetFatherMother] [Player.GetTitledFirstNameNoRegnal], [Root.GetDeathReason] в [GetDateText] в возрасте [Root.GetAgeYears].;;;;;;;;;;;;;x
CHRONICLE_DEATH_OF_HEIR;[Root.GetTitledFirstNameWithNickAndDynasty], наследн[Root.GetTsaK] человека, известного как [Player.GetTitledFirstNameNoRegnal], [Root.GetDeathReason] в [GetDateText] в возрасте [Root.GetAgeYears].;;;;;;;;;;;;;x
CHRONICLE_DEATH_OF_RELIGION_HEAD;[Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal], лидер всех верных религии [Root.Religion.GetName], [Root.GetDeathReason] в [GetDateText] в возрасте [Root.GetAgeYears].;;;;;;;;;;;;;x
CHRONICLE_BIRTH_FATHER;[Root.GetFirstNameWithDynasty], [Root.GetSonDaughter], роди[Root.GetLasLsya] [This.GetTitledFirstNameNoRegnal] и [Root.Mother.GetTitledFirstNameNoRegnal] [Root.Mother.GetOnlyDynastyName].;;;;;;;;;;;;;x
CHRONICLE_BIRTH_MOTHER;[Root.GetFirstNameWithDynasty], [Root.GetSonDaughter], роди[Root.GetLasLsya] [This.GetTitledFirstNameNoRegnal] и [Root.Father.GetTitledFirstNameNoRegnal] [Root.Father.GetOnlyDynastyName].;;;;;;;;;;;;;x
CHRONICLE_JOINED_ALLY_IN_WAR;[Prev.GetTitledFirstNameNoRegnal] поддерживает человека, известного как [From.GetTitledFirstNameWithDynasty] ([From.PrimaryTitle.GetName]) в войне против [From.GetHerHis] врагов.;;;;;;;;;;;;;x
CHRONICLE_JOINED_ALLY_IN_WAR_2;[From.GetTitledFirstNameNoRegnal] поддерживает человека, известного как [Prev.GetTitledFirstNameWithDynasty] ([Prev.PrimaryTitle.GetName]) в войне против  [Prev.GetHerHis] противников.;;;;;;;;;;;;;x
CHRONICLE_AZTECS_FIRST_CONTACT;Незнакомцы в странных кораблях высадились в провинции [FromFrom.Holder.PrimaryTitle.GetAdjective] из земли [FromFrom.GetName], вызвав много беспокойства и слухов по всем землям.;;;;;;;;;;;;;x
CHRONICLE_AZTEC_INVASION;Ужасное бедствие было развязано на земле [FromFrom.Holder.PrimaryTitle.GetName] когда орды императора ацтеков прибыли из-за моря, чтобы сеять хаос и разрушения.;;;;;;;;;;;;;x
CHRONICLE_CREATED_TITLE;[Root.GetFirstNameWithDynasty] именовал[Root.GetEndA] себя как [From.GetTitle] земли [From.GetFullName], подтвердив свою растущую силу с большой церемонией и празднованием.;;;;;;;;;;;;;x
CHRONICLE_USURPED_TITLE;[Root.GetTitledFirstNameNoRegnal] узурпировал[Root.GetEndA] [From.GetFullName] человека, известного как [FromFrom.GetFirstNameWithDynasty].;;;;;;;;;;;;;x
