#CODE;ENGLISH;x;;;;;;;;;;;;
NW_government;Ночной Дозор;x;;;;;;;;;;;;
NW_government_desc;Ночной дозор - это военный орден, в котором Лорд-Командующий является конечной властью и контролирует всю организацию. Лорд-Командующий служит в должности до самой смерти, и тогда новый Лорд-Командующий избирается людьми Дозора. Любой человек из Ночного дозора может быть назначен на пост Лорда-Командующего и, так как Дозор - меритократия (власть достойных), то это одно из немногих мест в Вестеросе, где обычный человек может подняться высоко;x;;;;;;;;;;;;
KG_government;Королевская Гвардия;x;;;;;;;;;;;;
KG_government_desc;Королевская Гвардия - это орден из семи рыцарей, которыми руководит Лорд-Командующий из Башни Белого Меча в Королевской Гавани. Лорд-Командующий служит в должности до самой смерти, и тогда новый Лорд-Командующий выбирается правителем Железного Трона. Любой Рыцарь королевства может присоединиться к Королевской Гвардии, чтобы служить и защищать, но ценой того, что он никогда не сможет жениться, иметь детей или владеть землей. Рыцари Королевской Гвардии дают обеты королю или королеве, но иногда, когда возникают противоречивые личные интересы, сила их обета проверяется лояльностью Дому.;x;;;;;;;;;;;;
ruin_government;Руины;x;;;;;;;;;;;;
ruin_government_desc;Это место - все, что осталось от некогда великой земли, теперь только необжитые руины. §YРуины можно колонизировать, щелкнув правой кнопкой мыши на их титульном щите и выбрав решение 'колонизировать'.§!;x;;;;;;;;;;;;
winter_government;Зима;x;;;;;;;;;;;;
winter_government_desc;В землях За Стеной, так далеко на север даже Одичалые не решаются идти, такой холодный ветер... и этот холодный ветер поднимается...;x;;;;;;;;;;;;
pirate_government;Пиратский Флот;x;;;;;;;;;;;;
pirate_government_desc;Пират ничего не может предложить, кроме своих собственных амбиций, они не верны ни человеку, ни государству, им плевать на любые законы. Быть пиратом - это признать, что в этом мире есть только два вида вещей: те, что у вас есть, и те, которые можете отнять. Как правило, сильнейший сын пирата сменяет его, но пираты не всегда следуют строгим правилам наследственности и, не колеблясь, откажутся от слабого наследника.;x;;;;;;;;;;;;
alliance_government;Альянс;x;;;;;;;;;;;;
alliance_government_desc;Это образование является союзом городов-государств, свободно управляемых Высшим Советом. Члены сохраняют большую часть своей власти и автономии, но дипломатически не защищены от того, что совет дает им лишь ограниченную власть. Королевство Трех Дочерей, союз Вольных городов Мира, Лиса и Тироша, является самым известным примером такого правительства. Три Дочери управлялись Высшим Советом Триархии, группой из тридцати трех магистров.;x;;;;;;;;;;;;
triarch_merchant_republic_government;Триархия;x;;;;;;;;;;;;
triarch_merchant_republic_government_desc;Триархией Волантийского образца управляют три триарха, каждый из которых правит в течение года. Каждый год свободные землевладельцы города могут выбрать нового триарха или переизбирать нынешних, эти выборы - десять дней безумия, с большим количеством агитации и подкупа. Однако, только Старая Кровь, родословную которой можно отследить от Валирии, может быть триархом, триархи принадлежат либо к партии слонов, либо к партии тигров. Слоны - это партия купцов и ростовщиков, а тигры - старая аристократия и воины. Слоны выступают за торговлю, а тигры выступают за завоевания.;x;;;;;;;;;;;;
alliance_empire;Альянс;x;;;;;;;;;;;;
alliance_empire_of;Альянс;x;;;;;;;;;;;;
alliance_emperor;Великий Магистр;x;;;;;;;;;;;;
alliance_emperor_valyrian;Архонт;x;;;;;;;;;;;;
alliance_emperor_ghiscari_group;Великий Господин;x;;;;;;;;;;;;
alliance_emperor_qartheen;Великий Принц;x;;;;;;;;;;;;
alliance_emperor_female;Леди;x;;;;;;;;;;;;
alliance_emperor_foa;Ваше Сиятельство;x;;;;;;;;;;;;
alliance_kingdom;Королевство;x;;;;;;;;;;;;
alliance_kingdom_of;Королевство;x;;;;;;;;;;;;
alliance_king;Великий Магистр;x;;;;;;;;;;;;
alliance_king_female;Леди;x;;;;;;;;;;;;
alliance_king_foa;Ваше Сиятельство;x;;;;;;;;;;;;
KG_government_FEATURES;§Y*§! После смерти Лорда-Командующего, король или королева Железного Трона назначает следующего;x;;;;;;;;;;;;
NW_government_FEATURES;§Y*§! После смерти Лорда-Командующего один из Черных Братев будет контролировать Ночной Дозор, пока не будет избран следующий Лорд-Командующий\n§Y*§! Если Стена падет, Ночной Дозор скроется в укрытии, пока их прежние земли не будут возвращены другим правителем;x;;;;;;;;;;;;
alliance_government_FEATURES;§Y*§! После смерти правителя Альянса, новый глава выбирается из числа семей первых членов;x;;;;;;;;;;;;
triarch_merchant_republic_government_FEATURES;§Y*§! В управлении Триархии существует один вышестоящий правитель, или Триарх, и два младших соправителя, которые также называются Триархами.\n§Y*§! Триархи избираются на ежегодных выборах сроком на один год, за исключением случаев, когда город подвергается нападению, тогда выборы приостановливаются.\n§Y*§! Если он переизбран, старший триарх остается старшим, независимо от того, сколько голосов они собрали.\n§Y*§! Если они не переизбраны, глава одной из 5 ведущих семей землевладельв (патрициев), получивших наибольшее количество голосов, становится старшим триархом. Если избран глава без землевладений, у власти остаются предыдущие триархи.\n§Y*§! Любой землевладелец может присоединиться к партиям Слонов или Тигров и, таким образом, иметь право голосовать на этих выборах.\n§Y*§! Только свободные землевладельцы, которые могут проследить свою кровь до Старой Валирии, могут избираться на выборах.\n§Y*§! Младшие триархи обладают следующими коллективными полномочиями:\n  -Вето из агрессивные войны (за исключением войн, чтобы вернуть законную территорию города)\n  -Освобождение узников города\n -Выдача приказов на арест граждан города\n  -Назначения в совет города\n  -Судебные разбирательства\n§Y*§! Младшие триархи имеют право на часть годового бюджета города, чтобы тратить по своему усмотрению. Этот бюджет предоставляется на выборах Триарха. Они также пользуются дипломатическим иммунитетом от старшего триарха. Старший триарх наблюдает за любыми судебными процессами, проводимыми младшим триархом.\n §Y*§!При смерти младшего триарха старший советник выступает в качестве временного триарха до следующих выборов\n§Y*§! При смерти старшего триарха один из младших триархов принимает власть. Если это невозможно, будут проведены немедленные выборы§Y*§ Если старший триарх нуждается в регенте, младший триарх станет им, если это возможно\n;x;;;;;;;;;;;;
ruin_government_FEATURES;§Y*§! Руины могут быть колонизированы правителями со временем и с деньгами;x;;;;;;;;;;;;
winter_government_FEATURES;§Y*§! Территории, захваченные Белыми Ходоками, превращаются в зимние пустоши под их контролем;x;;;;;;;;;;;;
pirate_government_FEATURES;§Y*§! Как только их королевство становится достаточно велико, пираты могут отринуть путь грабежа и выбрать следование официальной религии\n§Y*§! Могут брать пленников в качестве наложниц\n§Y*§! Могут свободно нападать на соседей, если они независимы\n§Y*§! Могут быть атакованы в антипиратской войне;x;;;;;;;;;;;;
military_command_government;Военное Командование;x;;;;;;;;;;;;
military_command_government_desc;Эта территория управляется назначенным военным командиром, выбранным правителем территории. После смерти командира территория возвращается к повелителю, который затем может назначить нового командующего. Действующий командир также может попытаться назначить своих родственников в качестве преемника, чтобы обеспечить закрепление земель за своей семьей.;x;;;;;;;;;;;;
military_command_government_FEATURES;§Y*§! Командующие могут обратиться к сюзерену, чтобы назначить одного из своих родственников в качестве приемника командующего;x;;;;;;;;;;;;
military_command_government_city;Военное Командование;x;;;;;;;;;;;;
military_command_government_city_desc;Эта территория управляется назначенным военным командиром, выбранным правителем территории. После смерти командира территория возвращается к повелителю, который затем может назначить нового командующего. Действующий командир также может попытаться назначить своих родственников в качестве преемника, чтобы обеспечить закрепление земель за своей семьей.;x;;;;;;;;;;;;
military_command_government_city_FEATURES;§Y*§! Командующие могут обратиться к сюзерену, чтобы назначить одного из своих родственников в качестве приемника командующего;x;;;;;;;;;;;;
command_barony;Командование;x;;;;;;;;;;;;
command_barony_of;Командование;x;;;;;;;;;;;;
command_baron;Командующий;x;;;;;;;;;;;;
command_baron_female;Леди;x;;;;;;;;;;;;
command_baron_foa;Милорд;x;;;;;;;;;;;;
command_county;Командование;x;;;;;;;;;;;;
command_county_of;Командование;x;;;;;;;;;;;;
command_count;Командующий;x;;;;;;;;;;;;
command_count_female;Леди;x;;;;;;;;;;;;
command_count_foa;Милорд;x;;;;;;;;;;;;
command_count_first_men;Господин;x;;;;;;;;;;;;
command_count_foa_first_men;Милорд;x;;;;;;;;;;;;
command_count_the_seven;Сир;x;;;;;;;;;;;;
command_count_foa_the_seven;Сир;x;;;;;;;;;;;;
command_duke_yi_ti;Префект;x;;;;;;;;;;;;
command_duke_female_yi_ti;Префект;x;;;;;;;;;;;;
feudal_government_LP;Феодал;x;;;;;;;;;;;;
feudal_government_LP_desc;Феодальное правительство крутится вокруг присяги между господином и вассалом, феодалы не могут владеть абосютно всеми своими землями напрямую, и должны полагаться на вассалов, чья лояльность может измениться... Существует несколько законов о наследовании - каждый со своими собственными преимуществами. Закон о Власти определяет минимальный сбор, который должны предоставить ваши вассалы, и количество прямых вассалов, которые вы можете иметь. Если вы станете вассалом Железного Трона, у вас будет возможность сохранить свой нынешний титул или принять титул Верховного Лорда.;x;;;;;;;;;;;;
LP_empire;Имерия;x;;;;;;;;;;;;
LP_empire_of;Империя;x;;;;;;;;;;;;
LP_empire_andal;Королевство;x;;;;;;;;;;;;
LP_empire_of_andal;Королевство;x;;;;;;;;;;;;
LP_empire_dornish;Королевство;x;;;;;;;;;;;;
LP_empire_of_dornish;Королевство;x;;;;;;;;;;;;
LP_empire_first_men;Королевство;x;;;;;;;;;;;;
LP_empire_of_first_men;Королевство;x;;;;;;;;;;;;
LP_empire_iron_isles_culture;Королевство;x;;;;;;;;;;;;
LP_empire_of_iron_isles_culture;Королевство;x;;;;;;;;;;;;
LP_empire_free_folk;Королевство;x;;;;;;;;;;;;
LP_empire_of_free_folk;Королевство;x;;;;;;;;;;;;
LP_empire_summer_islander;Королевство;x;;;;;;;;;;;;
LP_empire_of_summer_islander;Королевство;x;;;;;;;;;;;;
LP_emperor;Лорд-Протектор;x;;;;;;;;;;;;
LP_emperor_female;Лорд-Протектор;x;;;;;;;;;;;;
LP_emperor_foa;Милорд;x;;;;;;;;;;;;
LP_emperor_foa_female;Миледи;x;;;;;;;;;;;;
LP_emperor_title_prince;Лорд;x;;;;;;;;;;;;
LP_emperor_title_prince_female;Леди;x;;;;;;;;;;;;
LP_emperor_title_queen_mother_female;Леди;x;;;;;;;;;;;;
LP_kingdom;Королевство;x;;;;;;;;;;;;
